time,Gb(i),Gd(i),H_sun,T2m,WS10m,dataset_id,p_predicted,load_predicted
2018-03-26 00:00:00,0.0,0.0,0.0,1.76,1.52,1,4.678647346816916,126.90233410265154
2018-03-26 00:15:00,0.0,0.0,0.0,1.57,1.52,1,5.045861468126162,127.89340724807204
2018-03-26 00:30:00,0.0,0.0,0.0,1.38,1.52,1,5.482171255146881,128.85686113147227
2018-03-26 00:45:00,0.0,0.0,0.0,1.19,1.52,1,5.950666946709518,129.728061344629
2018-03-26 01:00:00,0.0,0.0,0.0,1.0,1.52,1,6.409458497754258,130.44987639687878
2018-03-26 01:15:00,0.0,0.0,0.0,0.89,1.52,1,6.797416400580701,130.9788978102269
2018-03-26 01:30:00,0.0,0.0,0.0,0.78,1.52,1,7.0891135161944305,131.29080370906618
2018-03-26 01:45:00,0.0,0.0,0.0,0.66,1.52,1,7.2483902800704385,131.38443285661828
2018-03-26 02:00:00,0.0,0.0,0.0,0.55,1.52,1,7.239901845270538,131.28422391218228
2018-03-26 02:15:00,0.0,0.0,0.0,0.56,1.52,1,7.018655274398398,131.04078796597696
2018-03-26 02:30:00,0.0,0.0,0.0,0.57,1.52,1,6.600871604195021,130.72951336778783
2018-03-26 02:45:00,0.0,0.0,0.0,0.59,1.52,1,5.987455906325863,130.4472414176656
2018-03-26 03:00:00,0.0,0.0,0.0,0.6,1.52,1,5.198765185910332,130.30718991940788
2018-03-26 03:15:00,0.0,0.0,0.0,0.62,1.52,1,4.258913141512593,130.43242924970073
2018-03-26 03:30:00,0.0,0.0,0.0,0.64,1.52,1,3.2094307602332037,130.94832345996574
2018-03-26 03:45:00,0.0,0.0,0.0,0.65,1.52,1,2.1006148342600994,131.97442938008604
2018-03-26 04:00:00,0.0,0.0,0.0,0.67,1.52,1,0.9822662818415893,133.61639388298096
2018-03-26 04:15:00,0.0,0.0,0.0,0.82,1.48,1,-0.1044448472557491,135.95839991043565
2018-03-26 04:30:00,0.0,0.0,0.0,0.96,1.45,1,-1.0858903788335539,139.05668446332925
2018-03-26 04:45:00,0.0,0.0,0.0,1.1,1.42,1,-1.9096535928073592,142.9345881223492
2018-03-26 05:00:00,0.0,0.0,0.0,1.25,1.38,1,-2.5306750060269536,147.5794998640003
2018-03-26 05:15:00,0.0,8.19,2.09,1.29,1.34,1,4.9678832411588445,152.94193925198644
2018-03-26 05:30:00,0.0,16.38,4.18,1.33,1.31,1,12.723021602563591,158.93687852857255
2018-03-26 05:45:00,0.0,24.56,6.27,1.37,1.27,1,20.74354073664891,165.4472593595647
2018-03-26 06:00:00,0.0,32.75,8.36,1.41,1.24,1,29.028349428888674,172.3295125435901
2018-03-26 06:15:00,0.0,43.17,10.64,1.82,1.22,1,38.906821857768016,179.4207542648181
2018-03-26 06:30:00,0.0,53.59,12.92,2.23,1.2,1,48.99549040031928,186.5472183990867
